instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
218528261,853626,BANKEX26APRFUT,"BANKEX",0,2026-04-30,0,0.05,30,FUT,BFO-FUT,BFO
223026437,871197,BANKEX26MAYFUT,"BANKEX",0,2026-05-27,0,0.05,30,FUT,BFO-FUT,BFO
283531013,1107543,BANKEX26JUNFUT,"BANKEX",0,2026-06-25,0,0.05,30,FUT,BFO-FUT,BFO
218263557,852592,SENSEX26APRFUT,"SENSEX",0,2026-04-30,0,0.05,20,FUT,BFO-FUT,BFO
222776325,870220,SENSEX26MAYFUT,"SENSEX",0,2026-05-27,0,0.05,20,FUT,BFO-FUT,BFO
283100933,1105863,SENSEX26JUNFUT,"SENSEX",0,2026-06-25,0,0.05,20,FUT,BFO-FUT,BFO
217409797,849257,SENSEX5026APRFUT,"SENSEX50",0,2026-04-30,0,0.05,75,FUT,BFO-FUT,BFO
223939333,874763,SENSEX5026MAYFUT,"SENSEX50",0,2026-05-27,0,0.05,75,FUT,BFO-FUT,BFO
284530181,1111446,SENSEX5026JUNFUT,"SENSEX50",0,2026-06-25,0,0.05,75,FUT,BFO-FUT,BFO
218621701,853991,BANKEX26APR63400CE,"BANKEX",0,2026-04-30,63400,0.05,30,CE,BFO-OPT,BFO
219057413,855693,BANKEX26APR63400PE,"BANKEX",0,2026-04-30,63400,0.05,30,PE,BFO-OPT,BFO
217487109,849559,BANKEX26APR63300PE,"BANKEX",0,2026-04-30,63300,0.05,30,PE,BFO-OPT,BFO
219133957,855992,BANKEX26APR63300CE,"BANKEX",0,2026-04-30,63300,0.05,30,CE,BFO-OPT,BFO
218550277,853712,BANKEX26APR63500PE,"BANKEX",0,2026-04-30,63500,0.05,30,PE,BFO-OPT,BFO
219272453,856533,BANKEX26APR63500CE,"BANKEX",0,2026-04-30,63500,0.05,30,CE,BFO-OPT,BFO
218491397,853482,BANKEX26APR63200CE,"BANKEX",0,2026-04-30,63200,0.05,30,CE,BFO-OPT,BFO
218931205,855200,BANKEX26APR63200PE,"BANKEX",0,2026-04-30,63200,0.05,30,PE,BFO-OPT,BFO
218756357,854517,BANKEX26APR63600CE,"BANKEX",0,2026-04-30,63600,0.05,30,CE,BFO-OPT,BFO
219190789,856214,BANKEX26APR63600PE,"BANKEX",0,2026-04-30,63600,0.05,30,PE,BFO-OPT,BFO
217360645,849065,BANKEX26APR63100PE,"BANKEX",0,2026-04-30,63100,0.05,30,PE,BFO-OPT,BFO
219000581,855471,BANKEX26APR63100CE,"BANKEX",0,2026-04-30,63100,0.05,30,CE,BFO-OPT,BFO
218240261,852501,BANKEX26APR63700CE,"BANKEX",0,2026-04-30,63700,0.05,30,CE,BFO-OPT,BFO
218681861,854226,BANKEX26APR63700PE,"BANKEX",0,2026-04-30,63700,0.05,30,PE,BFO-OPT,BFO
217425157,849317,BANKEX26APR63000CE,"BANKEX",0,2026-04-30,63000,0.05,30,CE,BFO-OPT,BFO
218804229,854704,BANKEX26APR63000PE,"BANKEX",0,2026-04-30,63000,0.05,30,PE,BFO-OPT,BFO
217238277,848587,BANKEX26APR63800PE,"BANKEX",0,2026-04-30,63800,0.05,30,PE,BFO-OPT,BFO
218885893,855023,BANKEX26APR63800CE,"BANKEX",0,2026-04-30,63800,0.05,30,CE,BFO-OPT,BFO
217580549,849924,BANKEX26APR62900PE,"BANKEX",0,2026-04-30,62900,0.05,30,PE,BFO-OPT,BFO
219223813,856343,BANKEX26APR62900CE,"BANKEX",0,2026-04-30,62900,0.05,30,CE,BFO-OPT,BFO
218371333,853013,BANKEX26APR63900CE,"BANKEX",0,2026-04-30,63900,0.05,30,CE,BFO-OPT,BFO
218817285,854755,BANKEX26APR63900PE,"BANKEX",0,2026-04-30,63900,0.05,30,PE,BFO-OPT,BFO
217655045,850215,BANKEX26APR62800CE,"BANKEX",0,2026-04-30,62800,0.05,30,CE,BFO-OPT,BFO
218096133,851938,BANKEX26APR62800PE,"BANKEX",0,2026-04-30,62800,0.05,30,PE,BFO-OPT,BFO
217502213,849618,BANKEX26APR64000CE,"BANKEX",0,2026-04-30,64000,0.05,30,CE,BFO-OPT,BFO
217944837,851347,BANKEX26APR64000PE,"BANKEX",0,2026-04-30,64000,0.05,30,PE,BFO-OPT,BFO
217443845,849390,BANKEX26APR62700PE,"BANKEX",0,2026-04-30,62700,0.05,30,PE,BFO-OPT,BFO
218170117,852227,BANKEX26APR62700CE,"BANKEX",0,2026-04-30,62700,0.05,30,CE,BFO-OPT,BFO
218157061,852176,BANKEX26APR64100CE,"BANKEX",0,2026-04-30,64100,0.05,30,CE,BFO-OPT,BFO
218592773,853878,BANKEX26APR64100PE,"BANKEX",0,2026-04-30,64100,0.05,30,PE,BFO-OPT,BFO
218083077,851887,BANKEX26APR64200PE,"BANKEX",0,2026-04-30,64200,0.05,30,PE,BFO-OPT,BFO
221637381,865771,BANKEX26APR78700PE,"BANKEX",0,2026-04-30,78700,0.05,30,PE,BFO-OPT,BFO
221662981,865871,BANKEX26APR78700CE,"BANKEX",0,2026-04-30,78700,0.05,30,CE,BFO-OPT,BFO
221639429,865779,BANKEX26APR78600CE,"BANKEX",0,2026-04-30,78600,0.05,30,CE,BFO-OPT,BFO
221656069,865844,BANKEX26APR78600PE,"BANKEX",0,2026-04-30,78600,0.05,30,PE,BFO-OPT,BFO
221658629,865854,BANKEX26APR78500CE,"BANKEX",0,2026-04-30,78500,0.05,30,CE,BFO-OPT,BFO
221678085,865930,BANKEX26APR78500PE,"BANKEX",0,2026-04-30,78500,0.05,30,PE,BFO-OPT,BFO
221634565,865760,BANKEX26APR78400CE,"BANKEX",0,2026-04-30,78400,0.05,30,CE,BFO-OPT,BFO
221652997,865832,BANKEX26APR78400PE,"BANKEX",0,2026-04-30,78400,0.05,30,PE,BFO-OPT,BFO
221654533,865838,BANKEX26APR78300CE,"BANKEX",0,2026-04-30,78300,0.05,30,CE,BFO-OPT,BFO
